[2026-08-14T06:21:39.663Z] GET http://localhost:3000/_next/static/chunks/src_app_16g7nni._.css → 304 (1ms, ?B)
[2026-08-14T06:21:39.663Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xx01vv._.js → 304 (2ms, ?B)
[2026-08-14T06:21:39.663Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 304 (2ms, ?B)
[2026-08-14T06:21:39.663Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 304 (2ms, ?B)
[2026-08-14T06:21:39.663Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 304 (3ms, ?B)
[2026-08-14T06:21:39.663Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 304 (3ms, ?B)
[2026-08-14T06:21:39.663Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → 304 (4ms, ?B)
[2026-08-14T06:21:39.663Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js → 304 (4ms, ?B)
[2026-08-14T06:21:39.663Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 304 (5ms, ?B)
[2026-08-14T06:21:39.663Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 304 (5ms, ?B)
[2026-08-14T06:21:39.663Z] GET http://localhost:3000/_next/static/chunks/turbopack-_01_ro95._.js → 304 (6ms, ?B)
[2026-08-14T06:21:39.663Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e9_p6y._.js → 304 (14ms, ?B)
[2026-08-14T06:21:39.664Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_007e4b2._.js → 304 (13ms, ?B)
[2026-08-14T06:21:39.664Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_07z50wt._.js → 304 (14ms, ?B)
[2026-08-14T06:21:39.664Z] GET http://localhost:3000/_next/static/chunks/src_app_(auth)_layout_tsx_097lp6p._.js → 304 (14ms, ?B)
[2026-08-14T06:21:39.664Z] GET http://localhost:3000/_next/static/chunks/node_modules_1zq98o-._.js → 304 (14ms, ?B)
[2026-08-14T06:21:39.664Z] GET http://localhost:3000/_next/static/chunks/src_0h4xi1i._.js → 304 (14ms, ?B)
[2026-08-14T06:21:39.664Z] GET http://localhost:3000/_next/static/chunks/src_app_not-found_tsx_097lp6p._.js → 304 (14ms, ?B)
[2026-08-14T06:21:39.664Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_097lp6p.js → 304 (14ms, ?B)
[2026-08-14T06:21:39.664Z] GET http://localhost:3000/_next/static/chunks/node_modules_0b7-gon._.js → 304 (14ms, ?B)
[2026-08-14T06:21:39.664Z] GET http://localhost:3000/_next/static/chunks/src_1azr4em._.js → 304 (15ms, ?B)
[2026-08-14T06:21:39.664Z] GET http://localhost:3000/_next/static/chunks/src_app_(auth)_login_page_tsx_1th9e49._.js → 304 (15ms, ?B)
[2026-08-14T06:21:39.664Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_0dfntjm._.js → 304 (15ms, ?B)
[2026-08-14T06:21:39.664Z] GET http://localhost:3000/_next/static/chunks/src_app_loading_tsx_097lp6p._.js → 304 (15ms, ?B)
[2026-08-14T06:21:39.674Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 304 (6ms, ?B)
[2026-08-14T06:21:39.677Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xch-cm._.js → 304 (4ms, ?B)
[2026-08-14T06:21:40.305Z] GET http://localhost:3000/register → 200 (205ms, ?B)
[2026-08-14T06:21:40.512Z] GET http://localhost:3000/_next/static/media/fraunces_latin_wght_italic-s.p.0by3gh2t3oa9b.woff2 → 200 (?ms, -300B)
[2026-08-14T06:21:40.512Z] GET http://localhost:3000/_next/static/media/fraunces_latin_wght_normal-s.p.1v4l5w6-86t-v.woff2 → 200 (?ms, -300B)
[2026-08-14T06:21:40.512Z] GET http://localhost:3000/_next/static/media/inter_latin_wght_normal-s.p.0gsaq8ukbf34m.woff2 → 200 (1ms, -300B)
[2026-08-14T06:21:40.513Z] GET http://localhost:3000/brand/rbw-mark.jpg → 304 (1ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/src_app_16g7nni._.css → 304 (1ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xx01vv._.js → 304 (1ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 304 (1ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 304 (1ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 304 (2ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 304 (3ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → 304 (3ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js → 304 (3ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 304 (4ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 304 (3ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/turbopack-_01_ro95._.js → 304 (4ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e9_p6y._.js → 304 (10ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_007e4b2._.js → 304 (10ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_07z50wt._.js → 304 (10ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/src_app_(auth)_layout_tsx_097lp6p._.js → 304 (10ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/node_modules_1zq98o-._.js → 304 (10ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/src_0h4xi1i._.js → 304 (10ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/src_app_not-found_tsx_097lp6p._.js → 304 (11ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_097lp6p.js → 304 (11ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/node_modules_0b7-gon._.js → 304 (11ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/src_0cc9m8_._.js → 200 (21ms, 6600B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/src_app_(auth)_register_page_tsx_1th9e49._.js → 200 (12ms, 286B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_0dfntjm._.js → 304 (11ms, ?B)
[2026-08-14T06:21:40.514Z] GET http://localhost:3000/_next/static/chunks/src_app_loading_tsx_097lp6p._.js → 304 (12ms, ?B)
[2026-08-14T06:21:40.524Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 304 (10ms, ?B)
[2026-08-14T06:21:40.524Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xch-cm._.js → 304 (11ms, ?B)
[2026-08-14T06:22:13.022Z] GET http://localhost:3000/ → 200 (50ms, 20528B)
[2026-08-14T06:22:13.074Z] GET http://localhost:3000/_next/static/media/fraunces_latin_wght_italic-s.p.0by3gh2t3oa9b.woff2 → 200 (1ms, -300B)
[2026-08-14T06:22:13.075Z] GET http://localhost:3000/_next/static/media/fraunces_latin_wght_normal-s.p.1v4l5w6-86t-v.woff2 → 200 (?ms, -300B)
[2026-08-14T06:22:13.075Z] GET http://localhost:3000/_next/static/media/inter_latin_wght_normal-s.p.0gsaq8ukbf34m.woff2 → 200 (?ms, -300B)
[2026-08-14T06:22:13.075Z] GET http://localhost:3000/brand/rbw-mark.jpg → 304 (4ms, ?B)
[2026-08-14T06:22:13.078Z] GET http://localhost:3000/_next/static/chunks/src_app_16g7nni._.css → 304 (2ms, ?B)
[2026-08-14T06:22:13.078Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1xx01vv._.js → 200 (12ms, ?B)
[2026-08-14T06:22:13.078Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 200 (19ms, ?B)
[2026-08-14T06:22:13.078Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (19ms, ?B)
[2026-08-14T06:22:13.078Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (14ms, ?B)
[2026-08-14T06:22:13.078Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (16ms, ?B)
[2026-08-14T06:22:13.078Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → 200 (20ms, ?B)
[2026-08-14T06:22:13.078Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1ybzpk2._.js → 200 (18ms, ?B)
[2026-08-14T06:22:13.078Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (19ms, ?B)
[2026-08-14T06:22:13.079Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (18ms, ?B)
[2026-08-14T06:22:13.079Z] GET http://localhost:3000/_next/static/chunks/turbopack-_01_ro95._.js → 200 (18ms, ?B)
[2026-08-14T06:22:13.079Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e9_p6y._.js → 200 (27ms, ?B)
